count,open_time,close_time,trade_duration,order_type,balance_prior,balance_post,total_pnl,price_symbol,quantity_symbol,squareOff_price_symbol,order_pnl,pnl_percentage
1,2020-01-08 05:00:00,2020-01-08 13:15:00,0 days 08:15:00,OrderStatus.LONG,10000,9474.605355149597,-525.394644850403,8367.46,3.5826284200940313,8233.37,-525.394644850403,-5
2,2020-01-08 14:40:00,2020-01-11 21:50:00,3 days 07:10:00,OrderStatus.LONG,9474.605355149597,8595.764622897117,-1404.2353771028825,8319.62,3.413917727420207,8074.68,-878.8407322524794,-9
3,2020-01-14 02:40:00,2020-01-16 00:35:00,1 days 21:55:00,OrderStatus.LONG,8595.764622897117,9522.507428765504,-477.49257123449445,8416.15,3.0617269652144783,8731.47,926.742805868388,11
4,2020-01-16 02:10:00,2020-01-19 11:00:00,3 days 08:50:00,OrderStatus.LONG,9522.507428765504,9507.462705798138,-492.5372942018606,8685.0,3.2868274777871953,8693.46,-15.044722967366194,0
5,2020-01-21 22:15:00,2020-01-22 08:35:00,0 days 10:20:00,OrderStatus.LONG,9507.462705798138,9366.76070739989,-633.2392926001082,8714.6,3.2704881837727915,8684.66,-140.7019983982476,-1
6,2020-01-26 19:00:00,2020-01-27 08:45:00,0 days 13:45:00,OrderStatus.LONG,9366.76070739989,9407.424226685176,-592.5757733148223,8561.36,3.2797600977657777,8586.61,40.66351928528598,0
7,2020-01-27 14:00:00,2020-01-29 10:00:00,1 days 20:00:00,OrderStatus.LONG,9407.424226685176,11145.65994373564,1145.659943735642,8744.3,3.2250844522197877,9296.4,1738.2357170504642,18
8,2020-01-29 10:05:00,2020-01-30 16:30:00,1 days 06:25:00,OrderStatus.LONG,11145.65994373564,11054.702404876463,1054.7024048764647,9302.45,3.5917314359478967,9291.09,-90.9575388591772,-1
9,2020-01-30 19:25:00,2020-02-10 05:55:00,10 days 10:30:00,OrderStatus.LONG,11054.702404876463,12263.578608405447,2263.578608405449,9475.82,3.4972418359802546,9835.71,1208.8762035289844,11
10,2020-02-10 06:25:00,2020-02-13 08:05:00,3 days 01:40:00,OrderStatus.LONG,12263.578608405447,13357.8348552597,3357.8348552597026,9977.56,3.684582480420807,10289.52,1094.2562468542535,9
11,2020-02-13 09:00:00,2020-02-15 15:50:00,2 days 06:50:00,OrderStatus.LONG,13357.8348552597,12014.671916284677,2014.671916284679,10229.23,3.91461033111532,9901.47,-1343.1629389750237,-10
12,2020-02-18 17:40:00,2020-02-19 21:45:00,1 days 04:05:00,OrderStatus.LONG,12014.671916284677,10323.470313704927,323.4703137049289,9900.0,3.638079064347716,9450.0,-1691.20160257975,-14
13,2020-02-23 05:30:00,2020-02-23 10:55:00,0 days 05:25:00,OrderStatus.LONG,10323.470313704927,10238.99380956065,238.99380956065232,9865.1,3.1370369416335304,9852.98,-84.47650414427659,-1
14,2020-02-23 11:00:00,2020-02-24 02:35:00,0 days 15:35:00,OrderStatus.LONG,10238.99380956065,9763.990209768988,-236.00979023100922,9862.35,3.1122342740432494,9724.53,-475.00359979166154,-5
15,2020-02-24 03:40:00,2020-02-25 14:25:00,1 days 10:45:00,OrderStatus.LONG,9763.990209768988,8765.921500767443,-1234.0784992325537,9774.35,2.9945726980653427,9455.73,-998.0687090015444,-10
16,2020-03-02 11:25:00,2020-03-03 15:15:00,1 days 03:50:00,OrderStatus.LONG,8765.921500767443,8608.477700796642,-1391.5222992033537,8741.0,3.006296897257248,8701.75,-157.4437999708,-2
17,2020-03-05 02:10:00,2020-03-07 17:00:00,2 days 14:50:00,OrderStatus.LONG,8608.477700796642,8792.622410247597,-1207.3775897523985,8855.09,2.9142633251116745,8931.57,184.14470945095516,2
18,2020-03-17 22:45:00,2020-03-27 23:40:00,10 days 00:55:00,OrderStatus.LONG,8792.622410247597,13126.830858802245,3126.830858802249,5436.83,4.848061063215097,6339.0,4334.2084485546475,49
19,2020-03-30 08:05:00,2020-04-01 12:05:00,2 days 04:00:00,OrderStatus.LONG,13126.830858802245,12791.526539992909,2791.526539992914,6272.31,6.2737583453264305,6228.28,-335.3043188093354,-3
20,2020-04-02 00:35:00,2020-04-07 20:00:00,5 days 19:25:00,OrderStatus.LONG,12791.526539992909,16315.961841569566,6315.961841569572,6583.45,5.82457506098835,7198.43,3524.4353015766583,28
21,2020-04-07 20:45:00,2020-04-09 11:55:00,1 days 15:10:00,OrderStatus.LONG,16315.961841569566,16584.930027923805,6584.930027923812,7134.04,6.856027525857042,7183.98,268.9681863542398,2
22,2020-04-12 15:50:00,2020-04-13 00:25:00,0 days 08:35:00,OrderStatus.LONG,16584.930027923805,14422.087350604532,4422.087350604539,6985.22,7.11752442889538,6691.83,-2162.8426773192728,-13
23,2020-04-14 05:15:00,2020-04-14 07:35:00,0 days 02:20:00,OrderStatus.LONG,14422.087350604532,14007.832818454255,4007.832818454263,6889.34,6.27546504531272,6833.67,-414.2545321502761,-3
24,2020-04-14 17:30:00,2020-04-15 10:45:00,0 days 17:15:00,OrderStatus.LONG,14007.832818454255,12968.652955250072,2968.6529552500806,6950.45,6.041620446377032,6788.88,-1039.1798632041823,-7
25,2020-04-16 09:40:00,2020-04-19 05:50:00,2 days 20:10:00,OrderStatus.LONG,12968.652955250072,13493.072663247782,3493.0726632477895,7034.5,5.526587447096582,7139.95,524.419707997709,4
26,2020-04-22 15:30:00,2020-04-23 23:35:00,1 days 08:05:00,OrderStatus.LONG,13493.072663247782,15544.272919774088,5544.272919774096,7089.93,5.705113954051879,7460.11,2051.200256526307,15
27,2020-04-23 23:40:00,2020-05-03 06:10:00,9 days 06:30:00,OrderStatus.LONG,15544.272919774088,24617.22454858106,14617.224548581067,7479.69,6.229916499915475,8947.27,9072.951628806972,58
28,2020-05-03 06:15:00,2020-05-05 10:00:00,2 days 03:45:00,OrderStatus.LONG,24617.22454858106,23691.114299030876,13691.114299030884,8977.75,8.219908650887904,8878.56,-926.1102495501834,-4
29,2020-05-05 10:05:00,2020-05-06 23:55:00,1 days 13:50:00,OrderStatus.LONG,23691.114299030876,25837.780592453644,15837.78059245365,8861.76,8.014213642653356,9142.92,2146.666293422766,9
30,2020-05-07 00:00:00,2020-05-08 22:55:00,1 days 22:55:00,OrderStatus.LONG,25837.780592453644,32341.00022044931,22341.000220449314,9096.54,8.514798678511601,9873.95,6503.219627995666,25
31,2020-05-09 07:05:00,2020-05-10 00:15:00,0 days 17:10:00,OrderStatus.LONG,32341.00022044931,21265.021090349037,11265.02109034904,9724.52,9.969667748212963,8628.15,-11075.979130100273,-34
32,2020-05-12 17:10:00,2020-05-12 17:45:00,0 days 00:35:00,OrderStatus.LONG,21265.021090349037,20307.912302681336,10307.91230268134,8961.0,7.113850794955231,8839.91,-957.1087876677016,-5
33,2020-05-13 02:30:00,2020-05-15 02:30:00,2 days 00:00:00,OrderStatus.LONG,20307.912302681336,23576.54330444704,13576.543304447043,8933.99,6.814205534745727,9427.08,3268.6310017657033,16
34,2020-05-15 03:15:00,2020-05-17 22:10:00,2 days 18:55:00,OrderStatus.LONG,23576.54330444704,24282.92040369628,14282.920403696282,9544.5,7.404953920153608,9654.22,706.3770992492383,3
35,2020-05-17 22:15:00,2020-05-18 08:45:00,0 days 10:30:00,OrderStatus.LONG,24282.92040369628,23427.586534734455,13427.586534734459,9639.07,7.5519863057515435,9540.28,-855.3338689618232,-4
36,2020-05-18 09:25:00,2020-05-19 03:50:00,0 days 18:25:00,OrderStatus.LONG,23427.586534734455,22697.553259433684,12697.553259433687,9599.99,7.315637571966244,9514.61,-730.0332753007708,-3
37,2020-05-19 09:55:00,2020-05-19 12:10:00,0 days 02:15:00,OrderStatus.LONG,22697.553259433684,21657.13241355947,11657.132413559473,9792.0,6.948691818164556,9656.97,-1040.420845874214,-5
38,2020-05-19 12:15:00,2020-05-20 15:15:00,1 days 03:00:00,OrderStatus.LONG,21657.13241355947,21254.145797419053,11254.145797419058,9651.4,6.726761785103498,9605.98,-402.9866161404157,-2
39,2020-05-27 12:40:00,2020-05-27 21:30:00,0 days 08:50:00,OrderStatus.LONG,21254.145797419053,20638.76530843582,10638.765308435828,9158.71,6.956723770510581,9084.0,-615.3804889832304,-3
40,2020-05-27 21:35:00,2020-05-29 08:20:00,1 days 10:45:00,OrderStatus.LONG,20638.76530843582,22981.36793554946,12981.367935549466,9102.36,6.797122801489227,9460.67,2342.6026271136384,11
41,2020-05-30 06:50:00,2020-06-02 14:45:00,3 days 07:55:00,OrderStatus.LONG,22981.36793554946,22649.05472429729,12649.054724297295,9565.0,7.202550520522048,9533.22,-332.31321125217085,-1
