count,order_type,balance_prior,balance_post,total_pnl,total_returns,order_id_price_symbol1,price_symbol1,balance_alloc_symbol,quantity_symbol1,squareOff_price_symbol1,squareOff_bal_symbol1,pnl_symbol1,returns_symbol1,order_id_price_symbol2,price_symbol2,balance_alloc_symbol2,quantity_symbol2,squareOff_price_symbol2,squareOff_bal_symbol2,pnl_symbol2,returns_symbol2
1,OrderStatus.LONG,10000,9810.422943347381,-189.57705665261892,0,0,10500.0,100000.0,0,10508.34,0,-20.61114285714575,0,0,217.24,100000.0,0,217.39,0,-168.96591379547317,0
2,OrderStatus.LONG,9810.422943347381,9737.39502464938,-73.02791869800146,0,0,10492.25,98104.22943347381,0,10493.82,0,-83.43181613885689,0,0,217.12,98104.22943347381,0,216.88,0,10.403897440855431,0
3,OrderStatus.LONG,9737.39502464938,9379.526030724575,-357.86899392480484,0,0,10483.05,97373.9502464938,0,10479.96,0,-126.06169508301792,0,0,216.89,97373.9502464938,0,217.19,0,-231.80729884178692,0
4,OrderStatus.LONG,9379.526030724575,9170.674308625516,-208.85172209905926,0,0,10470.29,93795.26030724576,0,10471.29,0,-84.8415099644105,0,0,217.12,93795.26030724576,0,217.19,0,-124.01021213464875,0
5,OrderStatus.LONG,9170.674308625516,8918.293118220081,-252.3811904054345,0,0,10538.81,91706.74308625516,0,10537.13,0,-106.31847768633627,0,0,219.09,91706.74308625516,0,219.22,0,-146.06271271909822,0
6,OrderStatus.SHORT,8918.293118220081,8811.595660138559,-106.69745808152277,0,0,10557.52,89182.93118220082,0,10554.78,0,-66.04279459731725,0,0,220.42,89182.93118220082,0,220.54,0,-40.65466348420551,0
7,OrderStatus.LONG,8811.595660138559,8599.678213619656,-211.91744651890332,0,0,10536.09,88115.95660138558,0,10536.12,0,-87.86518454471152,0,0,220.48,88115.95660138558,0,220.57,0,-124.0522619741918,0
8,OrderStatus.LONG,8599.678213619656,8499.714932333965,-99.9632812856903,0,0,10536.17,85996.78213619656,0,10534.48,0,-99.78375544142341,0,0,220.57,85996.78213619656,0,220.35,0,-0.1795258442668981,0
9,OrderStatus.LONG,8499.714932333965,8377.060200673779,-122.65473166018722,0,0,10498.78,84997.14932333966,0,10508.47,0,-6.587032552194131,0,0,218.66,84997.14932333966,0,218.74,0,-116.06769910799309,0
10,OrderStatus.LONG,8377.060200673779,8209.670564917607,-167.3896357561714,0,0,10504.57,83770.60200673778,0,10515.13,0,0.3999302865942269,0,0,219.02,83770.60200673778,0,219.24,0,-167.7895660427656,0
11,OrderStatus.SHORT,8209.670564917607,8071.068045623363,-138.60251929424405,0,0,10543.72,82096.70564917607,0,10541.39,0,-63.95965906419438,0,0,220.17,82096.70564917607,0,220.19,0,-74.64286023004966,0
12,OrderStatus.SHORT,8071.068045623363,7906.659687836652,-164.40835778671138,0,0,10552.32,80710.68045623363,0,10549.83,0,-61.670647627374834,0,0,219.74,80710.68045623363,0,219.68,0,-102.73771015933654,0
